MNG dose (mcg by ml),cell N,nucleus N,Area (px),Perimeter (px),Circularity,Height (px),Width (px),Gray Value (min),Gray Value (max),Gray Value (Mean),Gray Value (Median),Integrated Density
3,60,1,775,102.911688,0.919564,32,30,19,62,28.31871,27,21947
3,60,2,802,108.961941,0.848857,34,30,21,66,31.023691,30,24881
3,61,1,761,103.59798,0.891029,30,30,22,81,31.804205,29,24203
3,61,2,760,104.961941,0.866882,32,30,21,72,31.668421,30,24068
3,62,1,783,108.669048,0.83322,32,32,22,91,32.109834,29,25142
3,62,2,765,106.961941,0.840258,31,32,22,74,30.946405,28,23674
3,63,1,1302,141.547727,0.816611,42,38,19,84,31.320276,29,40779
3,63,2,1366,146.618795,0.798512,48,36,20,95,31.788433,29,43423
3,64,1,733,104.183766,0.848621,30,30,23,83,32.826739,30,24062
3,64,2,775,109.254834,0.815887,32,32,24,85,34.273548,32,26562
3,65,1,1362,146.51829,0.797266,44,42,23,74,34.776065,33,47365
3,65,2,1294,136.861436,0.868124,44,36,24,77,34.738794,33,44952
3,66,1,692,101.355339,0.846492,28,30,20,60,26.608382,25,18413
3,66,2,670,99.305087,0.853772,30,28,20,64,26.783582,25,17945
3,67,1,1127,130.033009,0.837581,38,38,28,94,40.133097,38,45230
3,67,2,1223,137.740115,0.810057,36,44,29,98,40.813573,38,49915
3,68,1,825,114.426407,0.791792,30,36,21,74,31.646061,29,26108
3,68,2,939,115.154329,0.889846,34,35,22,68,31.246006,30,29340
3,69,1,1129,125.63961,0.898774,38,38,21,54,30.23295,29,34133
3,69,2,1378,140.710678,0.874591,38,47,23,109,41.966618,36,57830
3,70,1,987,118.325902,0.885865,35,35,22,106,32.458967,29,32037
3,70,2,1005,118.861436,0.89391,35,36,22,97,33.069652,29,33235
3,71,1,1286,137.154329,0.859076,40,40,19,64,28.006221,26,36016
3,71,2,1285,142.133514,0.799319,42,38,19,77,30.301946,29,38938
3,72,1,1022,128.669048,0.775734,34,40,23,63,33.780822,32,34524
3,72,2,960,118.133514,0.86444,34,34,22,72,32.685417,31,31378
3,73,1,1068,129.447222,0.800932,38,38,22,75,32.671348,31,34893
3,73,2,1207,136.568542,0.813234,36,44,23,70,33.80116,32,40798
3,74,1,952,116.376154,0.883322,32,36,27,93,39.766807,37,37858
3,74,2,1019,121.254834,0.870935,34,36,28,97,42.518155,40,43326
3,75,1,1541,154.275649,0.813613,44,45,20,98,34.260221,29,52795
3,75,2,1337,137.932504,0.883096,43,39,20,87,31.206432,28,41723
3,76,1,1424,145.740115,0.842484,40,44,16,83,25.643258,23,36516
3,76,2,1576,151.982756,0.857388,42,46,17,83,26.015863,24,41001
3,77,1,1094,122.911688,0.909999,34,38,15,55,23.406764,22,25607
3,77,2,1251,133.932504,0.876386,39,41,16,56,23.480416,21,29374
3,78,1,1473,150.033009,0.822316,44,42,19,96,28.828242,26,42464
3,78,2,1589,156.861436,0.811524,44,46,19,82,29.708622,27,47207
3,79,1,1667,160.710678,0.811066,52,42,20,70,33.118776,32,55209
3,79,2,1357,148.367532,0.774661,50,40,22,65,31.910833,30,43303
3,80,1,1396,144.568542,0.839359,42,42,17,66,26.361748,24,36801
3,80,2,1299,140.275649,0.829573,40,42,19,88,30.917629,29,40162
3,81,1,1442,147.39697,0.834061,40,46,16,66,24.533287,23,35377
3,81,2,1380,143.982756,0.836504,42,42,17,71,26.15942,24,36100
3,82,1,834,111.012193,0.850422,32,32,21,92,30.91247,29,25781
3,82,2,789,110.426407,0.813094,32,32,21,89,29.782003,27,23498
3,83,1,994,122.426407,0.833386,36,34,22,77,31.293763,30,31106
3,83,2,1115,128.033009,0.854753,37,38,20,61,29.517489,28,32912
3,84,1,1021,123.204581,0.845244,36,36,24,81,36.941234,34,37717
3,84,2,1053,127.012193,0.820252,36,36,23,89,35.650522,34,37540
3,85,1,652,97.648232,0.859268,28,28,23,76,30.697853,28,20015
3,85,2,652,97.648232,0.859268,28,28,22,67,29.059816,27,18947
3,86,1,1194,133.254834,0.844984,38,38,19,86,30.29397,28,36171
3,86,2,1171,132.961941,0.832362,38,38,19,77,29.29035,27,34299
3,87,1,852,115.790368,0.798555,34,34,22,80,31.373239,29,26730
3,87,2,911,115.740115,0.854595,36,33,21,79,31.412733,28,28617
3,88,1,1564,154.225397,0.826294,44,46,22,85,39.042839,37,61063
3,88,2,1593,155.982756,0.822759,46,44,23,97,38.951036,37,62049
3,89,1,686,99.59798,0.869026,28,30,19,82,27.205539,25,18663
3,89,2,692,101.355339,0.846492,30,28,20,84,27.202312,25,18824
3,90,1,961,119.012193,0.85261,36,32,20,90,30.07076,26,28898
3,90,2,936,116.083261,0.872864,34,34,19,92,28.120726,25,26321
3,91,1,1131,131.204581,0.825609,38,38,23,90,35.262599,33,39882
